date_tagged,tag_id,fork_length_mm,weight_g,latitude,longitude,pit_tag_id,notes
8/3/2022,52,125,19.0,41.51715,-118.95780,989.001038467870,
6/1/2022,60,127,19.8,41.51205,-118.98548,n/a,likely mort
8/2/2022,48,129,23.0,41.53286,-118.99223,982.000407046902,
8/4/2022,47,129,22.5,41.50418,-118.97974,989.001038467862,
8/1/2022,55,130,26.0,41.54139,-119.00491,982.000407046916,likely mort
8/3/2022,51,130,25.0,41.51608,-118.95731,989.001038467868,
8/4/2022,66,131,29.5,41.50385,-118.97979,989.001038467854,
8/3/2022,54,133,26.5,41.51310,-118.95384,989.001038467899,
8/2/2022,44,134,26.0,41.53283,-118.99219,982.000407046909,
8/2/2022,45,137,28.5,41.53008,-118.98788,989.001038467890,released hastily during thunderstorm
5/31/2022,14,138,33.6,41.53986,-119.00307,n/a,likely mort
8/10/2022,65,142,32.0,41.50869,-118.98214,n/a,solo tagged
8/10/2022,70,142,33.0,41.50869,-118.98214,n/a,solo tagged
8/2/2022,42,152,37.0,41.53218,-118.99313,982.000407046938,
8/3/2022,56,154,41.5,41.52327,-118.98535,989.001038467881,
8/3/2022,58,157,41.0,41.52298,-118.98524,989.001038467837,
8/4/2022,69,157,42.5,41.50401,-118.97966,989.001038467853,
8/4/2022,64,157,42.0,41.50506,-118.98015,989.001038467838,
8/3/2022,53,160,46.0,41.52288,-118.98522,989.001038467841,
8/3/2022,41,161,52.0,41.51381,-118.95628,989.001038467908,
8/2/2022,46,167,51.0,41.53287,-118.99220,982.000407046930,
6/1/2022,57,173,59.6,41.52526,-118.98524,n/a,likely mort
8/4/2022,62,180,64.0,41.50285,-118.97881,989.001038467874,
8/3/2022,49,187,66.0,41.52299,-118.98520,989.001038467840,
8/4/2022,61,187,77.0,41.50504,-118.98016,989.001038467859,
8/3/2022,50,193,84.0,41.52287,-118.98519,982.126059646688,RECAP
8/10/2022,68,209,94.0,41.54320,-119.00722,n/a,solo tagged
,,,,,,,
,,,,,,,
,,152.6296296,,,,,