Wolman Pebble Count,,,,,,,(Metric Measuremtns),,,,,,,,,,,,,,,,,,,,,,
Date,Reach..,Stream.Name,SO,Channel Unit and Type,X..of.Transects,<2,2-4.0,4-5.7,5.7-8,8-11.3,11.3-16,16-22.6,22.6-32,32-45,45-64,64-90,90-128,128-180,180-256,256-362,362-512,512-1024,1024-2048,2048-4096,,total_counted,,QAQC: proofed?,Comments:
6/16/2015,MC1-116,Mahogany Creek,5,FTRF3,8,79,1,6,3,3,1,3,10,9,2,0,0,0,0,0,0,0,0,0,0,117,<---Total #,Y,
6/16/2015,MC1-116,Mahogany Creek,5,FTRF3,8,0.6752136752,0.008547008547,0.05128205128,0.02564102564,0.02564102564,0.008547008547,0.02564102564,0.08547008547,0.07692307692,0.01709401709,0,0,0,0,0,0,0,0,0,0,1,<--- % Item ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/17/2015,MC1-206,Mahogany Creek,48,FTRF9,7,54,2,3,3,6,4,14,10,8,7,1,0,0,0,0,0,0,0,0,0,112,<---Total #,Y,
6/17/2015,MC1-206,Mahogany Creek,48,FTRF9,7,0.4821428571,0.01785714286,0.02678571429,0.02678571429,0.05357142857,0.03571428571,0.125,0.08928571429,0.07142857143,0.0625,0.008928571429,0,0,0,0,0,0,0,0,0,1,<--- % Item ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/18/2015,MC2-257,Mahogany Creek,,,4,61,0,8,4,13,13,11,7,8,4,0,0,0,0,1,0,0,0,0,0,130,<---Total #,Y,
6/18/2015,MC2-257,Mahogany Creek,,,4,0.4692307692,0,0.06153846154,0.03076923077,0.1,0.1,0.08461538462,0.05384615385,0.06153846154,0.03076923077,0,0,0,0,0.007692307692,0,0,0,0,0,1,<--- % Item ,,SO and unit #s not recorded on the data sheet.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/19/2015,MC3-380,Mahogany Creek,125,FTRF2,4,15,6,7,10,13,11,16,13,16,8,1,0,0,0,0,0,0,0,0,0,116,<---Total #,Y,
6/19/2015,MC3-380,Mahogany Creek,125,FTRF2,4,0.1293103448,0.05172413793,0.06034482759,0.08620689655,0.1120689655,0.09482758621,0.1379310345,0.1120689655,0.1379310345,0.06896551724,0.008620689655,0,0,0,0,0,0,0,0,0,1,<--- % Item ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/24/2015,MC5-501,Mahogany Creek,229,FTRF10,5,35,0,5,4,8,8,10,12,8,9,4,7,1,3,0,1,0,0,0,0,115,<---Total #,Y,
6/24/2015,MC5-501,Mahogany Creek,229,FTRF10,5,0.3043478261,0,0.04347826087,0.0347826087,0.06956521739,0.06956521739,0.08695652174,0.1043478261,0.06956521739,0.07826086957,0.0347826087,0.06086956522,0.008695652174,0.02608695652,0,0.008695652174,0,0,0,0,1,<--- % Item ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/25/2015,MC5-555,Mahogany Creek,253,FTRF7,5,50,4,8,4,9,7,11,16,4,4,1,0,0,0,0,0,0,0,0,0,118,<---Total #,Y,
6/25/2015,MC5-555,Mahogany Creek,253,FTRF7,5,0.4237288136,0.03389830508,0.06779661017,0.03389830508,0.07627118644,0.0593220339,0.09322033898,0.1355932203,0.03389830508,0.03389830508,0.008474576271,0,0,0,0,0,0,0,0,0,1,<--- % Item ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/25/2015,SSC1-069,Summer Camp Creek,5001,FTRF1,4,30,2,1,11,16,12,11,16,4,3,0,3,1,0,0,0,0,0,0,0,110,<---Total #,Y,
6/25/2015,SSC1-069,Summer Camp Creek,5001,FTRF1,4,0.2727272727,0.01818181818,0.009090909091,0.1,0.1454545455,0.1090909091,0.1,0.1454545455,0.03636363636,0.02727272727,0,0.02727272727,0.009090909091,0,0,0,0,0,0,0,1,<--- % Item ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2015,SCC4-15-7,Summer Camp Creek,5122,FTRF1,5,29,6,3,4,1,2,1,3,10,8,26,7,1,1,0,1,0,0,0,0,103,<---Total #,Y,
6/30/2015,SCC4-15-7,Summer Camp Creek,5122,FTRF1,5,0.2815533981,0.05825242718,0.02912621359,0.03883495146,0.009708737864,0.01941747573,0.009708737864,0.02912621359,0.09708737864,0.07766990291,0.2524271845,0.06796116505,0.009708737864,0.009708737864,0,0.009708737864,0,0,0,0,1,<--- % Item ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2015,SCC5-15-8,Summer Camp Creek,5152,FTRF1,3,35,1,1,3,2,3,7,8,4,8,25,15,3,0,0,0,0,0,0,0,115,<---Total #,Y,
6/30/2015,SCC5-15-8,Summer Camp Creek,5152,FTRF1,3,0.3043478261,0.008695652174,0.008695652174,0.02608695652,0.01739130435,0.02608695652,0.06086956522,0.06956521739,0.0347826087,0.06956521739,0.2173913043,0.1304347826,0.02608695652,0,0,0,0,0,0,0,1,<--- % Item ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2015,MC2-326,Mahogany Creek,110,FTRF12,3,50,3,9,7,10,11,18,14,4,11,0,0,0,0,0,0,0,0,0,0,137,<---Total #,Y,
7/1/2015,MC2-326,Mahogany Creek,110,FTRF12,3,0.3649635036,0.02189781022,0.06569343066,0.05109489051,0.07299270073,0.0802919708,0.1313868613,0.102189781,0.02919708029,0.0802919708,0,0,0,0,0,0,0,0,0,0,1,<--- % Item ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/7/2015,SCC3-486,Summer Camp Creek,5110,FTRF13,5,35,7,1,4,3,3,6,5,4,9,12,7,12,5,2,5,0,0,0,0,120,<---Total #,Y,
7/7/2015,SCC3-486,Summer Camp Creek,5110,FTRF13,5,0.2916666667,0.05833333333,0.008333333333,0.03333333333,0.025,0.025,0.05,0.04166666667,0.03333333333,0.075,0.1,0.05833333333,0.1,0.04166666667,0.01666666667,0.04166666667,0,0,0,0,1,<--- % Item ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/8/2015,SCC2-15-5,Summer Camp Creek,5040,FTRP5,4,35,2,2,3,4,5,3,7,1,2,8,6,17,2,3,6,0,0,0,0,106,<---Total #,Y,
7/8/2015,SCC2-15-5,Summer Camp Creek,5040,FTRP5,4,0.3301886792,0.01886792453,0.01886792453,0.02830188679,0.03773584906,0.04716981132,0.02830188679,0.06603773585,0.009433962264,0.01886792453,0.07547169811,0.05660377358,0.1603773585,0.01886792453,0.02830188679,0.05660377358,0,0,0,0,1,<--- % Item ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/9/2015,MC7-817,Mahogany Creek,334,FTRF2,4,56,2,5,4,4,6,7,2,3,6,3,4,6,2,1,0,0,0,0,0,111,<---Total #,Y,
7/9/2015,MC7-817,Mahogany Creek,334,FTRF2,4,0.5045045045,0.01801801802,0.04504504505,0.03603603604,0.03603603604,0.05405405405,0.06306306306,0.01801801802,0.02702702703,0.05405405405,0.02702702703,0.03603603604,0.05405405405,0.01801801802,0.009009009009,0,0,0,0,0,1,<--- % Item ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2015,MC3-458,Mahogany Creek,165,FTRF10,3,10,3,2,11,18,20,10,8,3,0,7,2,14,3,1,0,0,0,0,0,112,<---Total #,Y,
7/1/2015,MC3-458,Mahogany Creek,165,FTRF10,3,0.08928571429,0.02678571429,0.01785714286,0.09821428571,0.1607142857,0.1785714286,0.08928571429,0.07142857143,0.02678571429,0,0.0625,0.01785714286,0.125,0.02678571429,0.008928571429,0,0,0,0,0,1,<--- % Item ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/15/2015,MC6-604,Mahogany Creek,280,FNRN5,4,67,0,3,6,4,5,9,12,9,2,0,0,0,0,0,0,0,0,0,0,117,<---Total #,Y,
7/15/2015,MC6-604,Mahogany Creek,280,FNRN5,4,0.5726495726,0,0.02564102564,0.05128205128,0.03418803419,0.04273504274,0.07692307692,0.1025641026,0.07692307692,0.01709401709,0,0,0,0,0,0,0,0,0,0,1,<--- % Item ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/15/2015,MC7-733,Mahogany Creek,309,FTRF6,4,61,0,3,14,26,22,21,5,9,7,2,4,0,0,0,0,0,0,0,0,174,<---Total #,Y,
7/15/2015,MC7-733,Mahogany Creek,309,FTRF6,4,0.3505747126,0,0.01724137931,0.08045977011,0.1494252874,0.1264367816,0.1206896552,0.02873563218,0.05172413793,0.04022988506,0.01149425287,0.02298850575,0,0,0,0,0,0,0,0,1,<--- % Item ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/16/2015,MC4-15-1,Mahogany Creek,197,FTRF10,2,20,0,7,4,23,12,15,11,3,8,4,0,0,0,0,0,0,0,0,0,107,<---Total #,Y,
7/16/2015,MC4-15-1,Mahogany Creek,197,FTRF10,2,0.1869158879,0,0.06542056075,0.03738317757,0.214953271,0.1121495327,0.1401869159,0.1028037383,0.02803738318,0.07476635514,0.03738317757,0,0,0,0,0,0,0,0,0,1,<--- % Item ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/21/2015,MC8-15-3,Mahogany Creek,404,FTRP10,3,72,3,0,0,5,3,5,4,7,6,4,2,6,0,0,0,0,0,0,0,117,<---Total #,Y,
7/21/2015,MC8-15-3,Mahogany Creek,404,FTRP10,3,0.6153846154,0.02564102564,0,0,0.04273504274,0.02564102564,0.04273504274,0.03418803419,0.05982905983,0.05128205128,0.03418803419,0.01709401709,0.05128205128,0,0,0,0,0,0,0,1,<--- % Item ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/28/2015,MC7-787,Mahogany Creek,471,FTRF6,3,41,1,5,3,10,15,10,10,8,4,5,10,5,1,0,0,0,0,0,0,128,<---Total #,Y,
7/28/2015,MC7-787,Mahogany Creek,471,FTRF6,3,0.3203125,0.0078125,0.0390625,0.0234375,0.078125,0.1171875,0.078125,0.078125,0.0625,0.03125,0.0390625,0.078125,0.0390625,0.0078125,0,0,0,0,0,0,1,<--- % Item ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/23/2015,MC1-013,Mahogany Creek,1014,FTRF13,3,105,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,<---Total #,,
7/23/2015,MC1-013,Mahogany Creek,1014,FTRF13,3,0.9813084112,0,0.01869158879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,<--- % Item ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/22/2015,MC8-15-4,Mahogany Creek,436,FTRP9,2,47,2,2,6,9,7,7,8,5,6,2,0,2,0,0,0,0,0,0,0,103,<---Total #,,
7/22/2015,MC8-15-4,Mahogany Creek,436,FTRP9,2,0.4563106796,0.01941747573,0.01941747573,0.05825242718,0.08737864078,0.06796116505,0.06796116505,0.07766990291,0.04854368932,0.05825242718,0.01941747573,0,0.01941747573,0,0,0,0,0,0,0,1,<--- % Item ,,