"","site","date","daily_mean_temp_c","daily_mean_do_mgL"
"1","mg2",2021-06-09,13.7622648556876,7.16307809847199
"2","mg2",2021-06-17,13.0402051282051,7.85184615384615
"3","mg2",2021-06-18,11.2146458333333,8.261375
"4","mg2",2021-06-19,11.6725277777778,8.14813888888889
"5","mg2",2021-06-20,12.084875,8.07938194444444
"6","mg2",2021-06-21,12.5579305555556,7.98282638888889
"7","mg2",2021-06-22,11.9900138888889,8.06713888888889
"8","mg2",2021-06-23,10.9065277777778,8.30034722222222
"9","mg2",2021-06-24,11.59975,8.18438194444444
"10","mg2",2021-06-25,11.7277916666667,8.16286111111111
"11","mg2",2021-06-26,12.2779791666667,8.07251388888889
"12","mg2",2021-06-27,13.0356805555556,7.92259027777778
"13","mg2",2021-06-28,13.4712430555556,7.8231875
"14","mg2",2021-06-29,13.8118333333333,7.74547222222222
"15","mg2",2021-06-30,12.6426180555556,7.96174305555556
"16","mg2",2021-07-01,13.0525902777778,7.92145833333333
"17","mg2",2021-07-02,13.4189791666667,7.85261805555556
"18","mg2",2021-07-03,13.5041805555556,7.84545833333333
"19","mg2",2021-07-04,13.0150416666667,7.97203472222222
"20","mg2",2021-07-05,12.9336111111111,8.01203472222222
"21","mg2",2021-07-06,13.3818472222222,7.86995833333333
"22","mg2",2021-07-07,13.4586944444444,7.85919444444444
"23","mg2",2021-07-08,12.4092361111111,8.07734722222222
"24","mg2",2021-07-09,12.5859097222222,8.11947916666667
"25","mg2",2021-07-10,14.1067569444444,7.82561111111111
"26","mg2",2021-07-11,14.6141944444444,7.69625694444444
"27","mg2",2021-07-12,14.3587638888889,7.7360625
"28","mg2",2021-07-13,13.6025555555556,7.89063888888889
"29","mg2",2021-07-14,13.1887430555556,7.95545833333333
"30","mg2",2021-07-15,12.9947986111111,7.97467361111111
"31","mg2",2021-07-16,12.31075,8.15190972222222
"32","mg2",2021-07-17,12.4230347222222,8.11753472222222
"33","mg2",2021-07-18,12.8785208333333,8.11152777777778
"34","mg2",2021-07-19,13.7228888888889,7.88695138888889
"35","mg2",2021-07-20,13.9311736111111,7.86003472222222
"36","mg2",2021-07-21,12.4204097222222,8.19090277777778
"37","mg2",2021-07-22,12.3263472222222,8.2059375
"38","mg2",2021-07-23,12.2939722222222,8.2909375
"39","mg2",2021-07-24,13.0843263888889,8.11393055555556
"40","mg2",2021-07-25,13.6893333333333,7.97675694444444
"41","mg2",2021-07-26,13.9421388888889,7.88541666666667
"42","mg2",2021-07-27,14.7792708333333,7.71329861111111
"43","mg2",2021-07-28,13.4978819444444,8.03820138888889
"44","mg2",2021-07-29,13.4104583333333,7.9516875
"45","mg2",2021-07-30,14.2801597222222,7.78628472222222
"46","mg2",2021-07-31,14.5860277777778,7.69038194444444
"47","mg2",2021-08-01,13.3870902777778,7.95179861111111
"48","mg2",2021-08-02,13.0909027777778,8.07016666666667
"49","mg2",2021-08-03,13.9377222222222,7.93938888888889
"50","mg2",2021-08-04,13.9778402777778,7.94325
"51","mg2",2021-08-05,13.5601875,7.92690277777778
"52","mg2",2021-08-06,11.747875,8.31009027777778
"53","mg2",2021-08-07,11.988,8.29190972222222
"54","mg2",2021-08-08,12.5865763888889,8.20005555555556
"55","mg2",2021-08-09,11.5786875,8.48440277777778
"56","mg2",2021-08-10,12.1405069444444,8.39503472222222
"57","mg2",2021-08-11,12.8150625,8.21915972222222
"58","mg2",2021-08-12,14.0886736111111,7.97393055555556
"59","mg2",2021-08-13,14.0316319444444,7.98493055555556
"60","mg2",2021-08-14,14.3730069444444,7.9708125
"61","mg2",2021-08-15,14.6706111111111,7.89749305555556
"62","mg2",2021-08-16,15.1144027777778,7.66888888888889
"63","mg2",2021-08-17,13.0431805555556,8.11665277777778
"64","mg2",2021-08-18,9.50664583333333,8.80922222222222
"65","mg2",2021-08-19,9.46018055555555,8.85221527777778
"66","mg2",2021-08-20,9.97895833333333,8.78382638888889
"67","mg2",2021-08-21,9.98739583333333,8.70597916666667
"68","mg2",2021-08-22,9.04201388888889,9.0371875
"69","mg2",2021-08-23,9.45971527777778,8.98613888888889
"70","mg2",2021-08-24,9.47088194444444,8.83485416666667
"71","mg2",2021-08-25,9.51661111111111,8.89257638888889
"72","mg2",2021-08-26,9.62207638888889,8.93915277777778
"73","mg2",2021-08-27,9.47625,8.91191666666667
"74","mg2",2021-08-28,9.61917361111111,8.91684722222222
"75","mg2",2021-08-29,10.3845,8.65540277777778
"76","mg2",2021-08-30,10.9505625,8.5243125
"77","mg2",2021-08-31,10.1367777777778,8.66732638888889
"78","mg2",2021-09-01,9.04593055555556,8.92259027777778
"79","mg2",2021-09-02,8.65472222222222,9.06739583333333
"80","mg2",2021-09-03,8.16902777777778,9.33190972222222
"81","mg2",2021-09-04,8.9159375,9.169375
"82","mg2",2021-09-05,9.81467361111111,8.85503472222222
"83","mg2",2021-09-06,10.3167569444444,8.7359375
"84","mg2",2021-09-07,11.1197222222222,8.600625
"85","mg2",2021-09-08,11.8100347222222,8.39846527777778
"86","mg2",2021-09-09,12.52775,8.23072222222222
"87","mg2",2021-09-10,12.1522638888889,8.050375
"88","mg2",2021-09-11,10.4577361111111,8.58019444444444
"89","mg2",2021-09-12,10.3100833333333,8.57841666666667
"90","mg2",2021-09-13,9.70375,8.73194444444444
"91","mg2",2021-09-14,8.77597916666667,8.97015972222222
"92","mg2",2021-09-15,9.15419444444444,8.90672222222222
"93","mg2",2021-09-16,8.4181875,9.0574375
"94","mg2",2021-09-17,8.52404861111111,9.0755625
"95","mg2",2021-09-18,9.26132638888889,8.75102083333333
"96","mg2",2021-09-19,7.70072222222222,9.13506944444444
"97","mg2",2021-09-20,5.60590277777778,9.828625
"98","mg2",2021-09-21,6.41002777777778,9.62447222222222
"99","mg2",2021-09-22,8.87548611111111,8.97741666666667
"100","mg2",2021-09-23,7.51881944444444,9.31054861111111
"101","mg2",2021-09-24,7.43074305555556,9.30359027777778
"102","mg2",2021-09-25,8.28872916666667,9.09602083333333
"103","mg2",2021-09-26,8.91190972222222,8.97013888888889
"104","mg2",2021-09-27,8.14221527777778,9.09356944444444
"105","mg2",2021-09-28,5.50522916666667,9.40390972222222
"106","mg2",2021-09-29,3.81943055555556,10.0661180555556
"107","mg2",2021-09-30,4.18846527777778,9.99538194444444
"108","mg2",2021-10-01,4.78204166666667,9.8436875
"109","mg2",2021-10-02,5.38452777777778,9.687375
"110","mg2",2021-10-03,6.15725,9.454625
"111","mg2",2021-10-04,6.77630555555556,9.30484027777778
"112","mg2",2021-10-05,7.25848611111111,9.1244375
"113","mg2",2021-10-06,6.96220833333333,9.12579166666667
"114","mg2",2021-10-07,5.75730555555556,9.40529861111111
"115","mg2",2021-10-08,5.24593055555556,9.53797222222222
"116","mg2",2021-10-09,3.34734722222222,10.1179930555556
"117","mg2",2021-10-10,3.33684722222222,10.1101944444444
"118","mg2",2021-10-11,1.02567361111111,10.6431527777778
"119","mg2",2021-10-12,0.0280347222222222,10.8583611111111
"120","mg2",2021-10-13,0.666631944444444,10.7704375
"121","mg2",2021-10-14,0.692145833333333,10.8399236111111
"122","mg2",2021-10-15,1.02799305555556,10.782625
"123","mg2",2021-10-16,2.53591666666667,10.3386388888889
"124","mg2",2021-10-17,3.50152777777778,9.95627083333333
"125","mg2",2021-10-18,2.36515277777778,10.1674513888889
"126","mg2",2021-10-19,2.24788888888889,10.3027777777778
"127","mg2",2021-10-20,4.04859722222222,9.81814583333333
"128","mg2",2021-10-21,6.05971527777778,9.30863888888889
"129","mg2",2021-10-22,5.50190972222222,9.25639583333333
"130","mg2",2021-10-23,3.22870138888889,10.0376597222222
"131","mg2",2021-10-24,3.559625,9.7230625
"132","mg2",2021-10-25,2.5624375,10.0508125
"133","mg2",2021-10-26,2.50648611111111,10.1488402777778
"134","mg2",2021-10-27,4.31575,9.7406875
"135","mg2",2021-10-28,3.9085,9.88011805555556
"136","mg2",2021-10-29,5.14454166666667,9.50805555555556
"137","mg2",2021-10-30,4.96111111111111,9.51921527777778
"138","mg2",2021-10-31,4.11341666666667,9.73619444444445
"139","mg2",2021-11-01,4.07547222222222,9.74569444444444
"140","mg2",2021-11-02,7.3664262295082,8.85100819672131
"141","mg2",2022-05-12,6.21732183908046,9.50995402298851
"142","mg2",2022-05-13,6.45354861111111,9.43556944444444
"143","mg2",2022-05-14,8.66140277777778,8.91580555555556
"144","mg2",2022-05-15,9.72449305555556,8.63747916666667
"145","mg2",2022-05-16,9.69549305555556,8.61309722222222
"146","mg2",2022-05-17,8.93988888888889,8.81663194444444
"147","mg2",2022-05-18,9.12227083333333,8.81527083333333
"148","mg2",2022-05-19,8.74886805555555,8.78184027777778
"149","mg2",2022-05-20,6.17786805555556,9.38582638888889
"150","mg2",2022-05-21,6.18748611111111,9.39895833333333
"151","mg2",2022-05-22,7.08028472222222,9.23134027777778
"152","mg2",2022-05-23,8.50915277777778,8.88608333333333
"153","mg2",2022-05-24,8.85713888888889,8.79480555555556
"154","mg2",2022-05-25,10.1242986111111,8.51480555555556
"155","mg2",2022-05-26,10.0638333333333,8.47782638888889
"156","mg2",2022-05-27,9.00132638888889,8.69136111111111
"157","mg2",2022-05-28,8.19324305555556,8.80338194444444
"158","mg2",2022-05-29,5.58821527777778,9.47202083333333
"159","mg2",2022-05-30,5.68565277777778,9.48522222222222
"160","mg2",2022-05-31,7.0728125,9.19297916666667
"161","mg2",2022-06-01,8.50222916666667,8.86935416666667
"162","mg2",2022-06-02,9.248875,8.65714583333333
"163","mg2",2022-06-03,9.82866666666667,8.51041666666667
"164","mg2",2022-06-04,9.33595138888889,8.5920625
"165","mg2",2022-06-05,9.95409027777778,8.47676388888889
"166","mg2",2022-06-06,9.27822222222222,8.66595138888889
"167","mg2",2022-06-07,9.56577777777778,8.62690972222222
"168","mg2",2022-06-08,10.4390486111111,8.40870833333333
"169","mg2",2022-06-09,11.0392986111111,8.30173611111111
"170","mg2",2022-06-10,11.584625,8.20358333333333
"171","mg2",2022-06-11,12.0089930555556,8.086
"172","mg2",2022-06-12,10.3164166666667,8.35098611111111
"173","mg2",2022-06-13,7.13982638888889,9.13927083333333
"174","mg2",2022-06-14,7.09157638888889,9.19143055555556
"175","mg2",2022-06-15,8.21404166666667,8.92518055555556
"176","mg2",2022-06-16,10.5975277777778,8.32700694444445
"177","mg2",2022-06-17,9.18677083333333,8.5976875
"178","mg2",2022-06-18,7.32523611111111,9.07613194444444
"179","mg2",2022-06-19,6.26698611111111,9.38746527777778
"180","mg2",2022-06-20,7.33384027777778,9.19220833333333
"181","mg2",2022-06-21,9.01354861111111,8.82353472222222
"182","mg2",2022-06-22,10.4649583333333,8.47755555555556
"183","mg2",2022-06-23,11.0597291666667,8.30263888888889
"184","mg2",2022-06-24,10.9455138888889,8.34649305555556
"185","mg2",2022-06-25,11.0260277777778,8.37550694444444
"186","mg2",2022-06-26,12.0334791666667,8.17950694444444
"187","mg2",2022-06-27,12.6031527777778,8.04902083333333
"188","mg2",2022-06-28,12.4164722222222,8.03701388888889
"189","mg2",2022-06-29,11.4168958333333,8.23420138888889
"190","mg2",2022-06-30,11.1224791666667,8.27892361111111
"191","mg2",2022-07-01,11.218875,8.24556944444444
"192","mg2",2022-07-02,11.157125,8.2235625
"193","mg2",2022-07-03,10.7483402777778,8.30013888888889
"194","mg2",2022-07-04,10.7812291666667,8.30464583333333
"195","mg2",2022-07-05,11.4469513888889,8.17603472222222
"196","mg2",2022-07-06,11.9504513888889,8.07327777777778
"197","mg2",2022-07-07,12.0262569444444,8.0736875
"198","mg2",2022-07-08,11.8253125,8.14611111111111
"199","mg2",2022-07-09,11.8983819444444,8.15525
"200","mg2",2022-07-10,12.1592986111111,8.12345138888889
"201","mg2",2022-07-11,12.8877638888889,7.95623611111111
"202","mg2",2022-07-12,13.5295555555556,7.78907638888889
"203","mg2",2022-07-13,13.6249027777778,7.76279861111111
"204","mg2",2022-07-14,12.9164583333333,7.92589583333333
"205","mg2",2022-07-15,12.9232430555556,7.93448611111111
"206","mg2",2022-07-16,13.4353263888889,7.83248611111111
"207","mg2",2022-07-17,13.6981597222222,7.68508333333333
"208","mg2",2022-07-18,13.8129097222222,7.61750694444444
"209","mg2",2022-07-19,13.7679930555556,7.66613888888889
"210","mg2",2022-07-20,13.4414513888889,7.69027083333333
"211","mg2",2022-07-21,13.0857083333333,7.66253472222222
"212","mg2",2022-07-22,12.9167847222222,7.55448611111111
"213","mg2",2022-07-23,12.7481388888889,7.45899305555556
"214","mg2",2022-07-24,13.0787291666667,7.49746527777778
"215","mg2",2022-07-25,13.5807708333333,7.32458333333333
"216","mg2",2022-07-26,13.9949583333333,7.24959722222222
"217","mg2",2022-07-27,14.3122152777778,7.21275694444444
"218","mg2",2022-07-28,14.5200555555556,7.00450694444444
"219","mg2",2022-07-29,14.8334513888889,6.91208333333333
"220","mg2",2022-07-30,14.6663263888889,7.00050694444444
"221","mg2",2022-07-31,15.0542083333333,6.50411805555556
"222","mg2",2022-08-01,14.8799166666667,6.47946527777778
"223","mg2",2022-08-02,14.3970694444444,6.87014583333333
"224","mg2",2022-08-03,14.2703819444444,6.98517361111111
"225","mg2",2022-08-04,14.9855625,6.73014583333333
"226","mg2",2022-08-05,14.6010763888889,7.46413194444444
"227","mg2",2022-08-06,13.8654305555556,7.6860625
"228","mg2",2022-08-07,14.1442361111111,7.68872916666667
"229","mg2",2022-08-08,14.6601875,7.57796527777778
"230","mg2",2022-08-09,14.2731805555556,7.63973611111111
"231","mg2",2022-08-10,14.4221805555556,7.65163194444444
"232","mg2",2022-08-11,13.7787986111111,7.77533333333333
"233","mg2",2022-08-12,12.9467777777778,7.92370833333333
"234","mg2",2022-08-13,12.4750277777778,8.02410416666667
"235","mg2",2022-08-14,12.589625,7.99782638888889
"236","mg2",2022-08-15,13.0883472222222,7.88863194444444
"237","mg2",2022-08-16,13.3667083333333,7.83727777777778
"238","mg2",2022-08-17,14.1214027777778,7.70801388888889
"239","mg2",2022-08-18,13.7861805555556,7.74665277777778
"240","mg2",2022-08-19,13.6996597222222,7.76890972222222
"241","mg2",2022-08-20,13.784,7.73767361111111
"242","mg2",2022-08-21,14.0537430555556,7.72015277777778
"243","mg2",2022-08-22,13.4454444444444,7.83248611111111
"244","mg2",2022-08-23,13.0421736111111,7.88454861111111
"245","mg2",2022-08-24,13.5795138888889,7.76716666666667
"246","mg2",2022-08-25,13.0929722222222,7.88856944444444
"247","mg2",2022-08-26,12.7080972222222,7.94821527777778
"248","mg2",2022-08-27,12.4659791666667,7.96609027777778
"249","mg2",2022-08-28,12.1114444444444,8.04472916666667
"250","mg2",2022-08-29,12.6298125,7.97797916666667
"251","mg2",2022-08-30,13.7878611111111,7.77252777777778
"252","mg2",2022-08-31,13.7805,7.77391666666667
"253","mg2",2022-09-01,13.0468402777778,7.913125
"254","mg2",2022-09-02,13.4910555555556,7.81763194444444
"255","mg2",2022-09-03,14.1881388888889,7.67427777777778
"256","mg2",2022-09-04,13.2436597222222,7.86961805555556
"257","mg2",2022-09-05,13.679375,7.78913888888889
"258","mg2",2022-09-06,14.3966736111111,7.65808333333333
"259","mg2",2022-09-07,14.5992361111111,7.61995833333333
"260","mg2",2022-09-08,13.2880833333333,7.84125694444444
"261","mg2",2022-09-09,11.2106597222222,8.20326388888889
"262","mg2",2022-09-10,11.0811111111111,8.26645833333333
"263","mg2",2022-09-11,11.8343958333333,8.14872222222222
"264","mg2",2022-09-12,13.2994861111111,7.80214583333333
"265","mg2",2022-09-13,12.3981180555556,7.93333333333333
"266","mg2",2022-09-14,10.3849722222222,8.35915972222222
"267","mg2",2022-09-15,10.0015833333333,8.473625
"268","mg2",2022-09-16,9.99590972222222,8.4715625
"269","mg2",2022-09-17,10.0294444444444,8.39365277777778
"270","mg2",2022-09-18,9.99554861111111,8.38064583333333
"271","mg2",2022-09-19,10.4042222222222,8.33379166666667
"272","mg2",2022-09-20,9.66620138888889,8.50029166666667
"273","mg2",2022-09-21,8.99019444444444,8.62803472222222
"274","mg2",2022-09-22,8.25177777777778,8.88169444444445
"275","mg2",2022-09-23,9.02361111111111,8.72986111111111
"276","mg2",2022-09-24,9.4275,8.66413194444444
"277","mg2",2022-09-25,9.81802083333333,8.58126388888889
"278","mg2",2022-09-26,10.6906527777778,8.36570138888889
"279","mg2",2022-09-27,11.1881875,8.23963888888889
"280","mg2",2022-09-28,11.1971180555556,8.229375
"281","mg2",2022-09-29,9.73560416666667,8.53855555555556
"282","mg2",2022-09-30,8.96482638888889,8.70424305555555
"283","mg2",2022-10-01,8.82065972222222,8.72511111111111
"284","mg2",2022-10-02,8.86504861111111,8.73083333333333
"285","mg2",2022-10-03,9.30511805555556,8.65972222222222
"286","mg2",2022-10-04,9.345625,8.65341666666667
"287","mg2",2022-10-05,9.51193055555555,8.62443055555556
"288","mg2",2022-10-06,9.23874305555556,8.69159722222222
"289","mg2",2022-10-07,9.39391666666667,8.66518055555555
"290","mg2",2022-10-08,9.48578472222222,8.63282638888889
"291","mg2",2022-10-09,9.19454166666667,8.67093055555556
"292","mg2",2022-10-10,8.98040277777778,8.69486805555556
"293","mg2",2022-10-11,8.53813888888889,8.80342361111111
"294","mg2",2022-10-12,8.62938888888889,8.81542361111111
"295","mg2",2022-10-13,8.88894444444444,8.74560416666667
"296","mg2",2022-10-14,8.83913194444444,8.70263194444444
"297","mg2",2022-10-15,8.63529166666667,8.72654861111111
"298","mg2",2022-10-16,8.31877083333333,8.8225
"299","mg2",2022-10-17,7.60538888888889,9.00175694444444
"300","mg2",2022-10-18,7.90711805555556,8.95985416666667
"301","mg2",2022-10-19,8.15080555555556,8.90869444444444
"302","mg2",2022-10-20,8.08155555555556,8.85923611111111
"303","mg2",2022-10-21,7.76831944444444,8.82528472222222
"304","mg2",2022-10-22,6.34027083333333,8.95023611111111
"305","mg2",2022-10-23,4.15745833333333,9.60990277777778
"306","mg2",2022-10-24,4.18877777777778,9.66269444444444
"307","mg2",2022-10-25,5.55408333333333,9.28174305555556
"308","mg2",2022-10-26,4.32038194444444,9.59140972222222
"309","mg2",2022-10-27,3.36132638888889,9.86690972222222
"310","mg2",2022-10-28,4.126125,9.70532638888889
"311","mg2",2022-10-29,4.74715972222222,9.58252083333333
"312","mg2",2022-10-30,4.89661805555556,9.53011111111111
"313","mg2",2022-10-31,5.29053472222222,9.35105555555556
"314","mg2",2022-11-01,10.8249652777778,8.23002777777778
"315","mg3",2021-06-09,13.5224358974359,7.5146188034188
"316","mg3",2021-06-18,10.9803037974684,8.21613924050633
"317","mg3",2021-06-19,9.46601388888889,8.52577083333333
"318","mg3",2021-06-20,9.66634722222222,8.48474305555555
"319","mg3",2021-06-21,9.92609722222222,8.4205625
"320","mg3",2021-06-22,9.36798611111111,8.51810416666667
"321","mg3",2021-06-23,8.81097916666667,8.6419375
"322","mg3",2021-06-24,9.31529166666667,8.56304166666667
"323","mg3",2021-06-25,9.35480555555556,8.55529166666667
"324","mg3",2021-06-26,9.69692361111111,8.49950694444444
"325","mg3",2021-06-27,10.1266388888889,8.40443055555555
"326","mg3",2021-06-28,10.3459513888889,8.33779861111111
"327","mg3",2021-06-29,10.4742222222222,8.30114583333333
"328","mg3",2021-06-30,9.6915625,8.46791666666667
"329","mg3",2021-07-01,9.99163888888889,8.42542361111111
"330","mg3",2021-07-02,10.2781388888889,8.36773611111111
"331","mg3",2021-07-03,10.1035763888889,8.39408333333333
"332","mg3",2021-07-04,9.79506944444444,8.47440277777778
"333","mg3",2021-07-05,10.1209444444444,8.42199305555556
"334","mg3",2021-07-06,10.3635208333333,8.36629861111111
"335","mg3",2021-07-07,10.4135555555556,8.33213888888889
"336","mg3",2021-07-08,9.92314583333333,8.43520833333333
"337","mg3",2021-07-09,10.0578888888889,8.45411111111111
"338","mg3",2021-07-10,11.1422013888889,8.25170138888889
"339","mg3",2021-07-11,11.4350347222222,8.18196527777778
"340","mg3",2021-07-12,11.2883541666667,8.21434027777778
"341","mg3",2021-07-13,10.6693611111111,8.33719444444444
"342","mg3",2021-07-14,10.6111111111111,8.31659027777778
"343","mg3",2021-07-15,10.5474097222222,8.31276388888889
"344","mg3",2021-07-16,10.2788333333333,8.38499305555556
"345","mg3",2021-07-17,10.4115625,8.40834027777778
"346","mg3",2021-07-18,10.7013125,8.42121527777778
"347","mg3",2021-07-19,10.8963402777778,8.34570833333333
"348","mg3",2021-07-20,11.0889097222222,8.35499305555556
"349","mg3",2021-07-21,10.3527430555556,8.41588888888889
"350","mg3",2021-07-22,10.5555555555556,8.39938194444444
"351","mg3",2021-07-23,10.6298263888889,8.22259027777778
"352","mg3",2021-07-24,11.1508958333333,8.26322916666667
"353","mg3",2021-07-25,11.7418194444444,8.03439583333333
"354","mg3",2021-07-26,11.5258541666667,8.12915972222222
"355","mg3",2021-07-27,12.0266875,8.058375
"356","mg3",2021-07-28,11.2383541666667,8.27102777777778
"357","mg3",2021-07-29,11.4669583333333,8.18572916666667
"358","mg3",2021-07-30,11.8596319444444,8.09310416666667
"359","mg3",2021-07-31,11.3778194444444,8.16713194444444
"360","mg3",2021-08-01,10.4412152777778,8.36057638888889
"361","mg3",2021-08-02,11.5548402777778,8.16075
"362","mg3",2021-08-03,11.9239444444444,8.06538194444444
"363","mg3",2021-08-04,12.074625,8.01977777777778
"364","mg3",2021-08-05,11.6303333333333,8.07122916666667
"365","mg3",2021-08-06,10.2066527777778,8.40027777777778
"366","mg3",2021-08-07,10.6248263888889,8.33876388888889
"367","mg3",2021-08-08,10.9503125,8.23589583333333
"368","mg3",2021-08-09,10.2086736111111,8.41950694444444
"369","mg3",2021-08-10,10.7725277777778,8.32554861111111
"370","mg3",2021-08-11,11.2915069444444,8.21450694444444
"371","mg3",2021-08-12,12.1911111111111,8.02947222222222
"372","mg3",2021-08-13,11.6198125,8.16788194444444
"373","mg3",2021-08-14,12.0920625,8.10427777777778
"374","mg3",2021-08-15,12.5237152777778,8.02477083333333
"375","mg3",2021-08-16,12.7418125,7.91461111111111
"376","mg3",2021-08-17,10.8367916666667,8.23951388888889
"377","mg3",2021-08-18,8.4041875,8.78711805555556
"378","mg3",2021-08-19,8.53046527777778,8.76293055555556
"379","mg3",2021-08-20,9.14842361111111,8.5943125
"380","mg3",2021-08-21,8.84000694444445,8.59852083333333
"381","mg3",2021-08-22,8.32190277777778,8.767625
"382","mg3",2021-08-23,8.71666666666667,8.680875
"383","mg3",2021-08-24,8.87619444444444,8.67035416666667
"384","mg3",2021-08-25,8.75190972222222,8.74168055555556
"385","mg3",2021-08-26,8.84645833333333,8.74856944444444
"386","mg3",2021-08-27,8.78448611111111,8.70572222222222
"387","mg3",2021-08-28,9.05609027777778,8.66499305555556
"388","mg3",2021-08-29,9.82840972222222,8.53971527777778
"389","mg3",2021-08-30,9.94647222222222,8.44169444444444
"390","mg3",2021-08-31,9.20502777777778,8.59526388888889
"391","mg3",2021-09-01,8.40779861111111,8.70879861111111
"392","mg3",2021-09-02,8.09096527777778,8.80402083333333
"393","mg3",2021-09-03,7.77514583333333,9.00581944444444
"394","mg3",2021-09-04,8.4984375,8.86485416666667
"395","mg3",2021-09-05,9.19561111111111,8.74495833333333
"396","mg3",2021-09-06,9.45754166666667,8.7708125
"397","mg3",2021-09-07,10.1382291666667,8.62295833333333
"398","mg3",2021-09-08,10.6371875,8.42524305555555
"399","mg3",2021-09-09,11.0160625,8.43276388888889
"400","mg3",2021-09-10,10.1762222222222,8.40116666666667
"401","mg3",2021-09-11,9.40897222222222,8.66297916666667
"402","mg3",2021-09-12,9.37663888888889,8.72932638888889
"403","mg3",2021-09-13,8.84136805555556,8.91494444444444
"404","mg3",2021-09-14,8.15972916666667,9.00879166666667
"405","mg3",2021-09-15,8.45316666666667,8.97854861111111
"406","mg3",2021-09-16,7.77541666666667,9.10413194444445
"407","mg3",2021-09-17,8.42908333333333,8.95159027777778
"408","mg3",2021-09-18,8.31657638888889,8.92241666666667
"409","mg3",2021-09-19,6.76567361111111,9.31319444444444
"410","mg3",2021-09-20,5.52704166666667,9.61002777777778
"411","mg3",2021-09-21,6.54988194444444,9.39458333333333
"412","mg3",2021-09-22,8.242875,9.05047222222222
"413","mg3",2021-09-23,7.03614583333333,9.22690277777778
"414","mg3",2021-09-24,7.20785416666667,9.19220138888889
