date,trip_number,site_id,latitude,longitude,net_depth_cm,net_width_cm,velocity_fps,time_in,time_out,total_time_in,total_time,notes
8/16/2022,2,MG2,41.54489,119.01041,9.6,25.6,0.701,10:39,11:45,1:06,1.1,US discharge cross section
8/16/2022,2,MG3,41.53177,118.99426,6.5,25,0.652,13:15,15:07,1:52,1.866666667,
8/16/2022,2,MG4,41.53307,118.99085,4.2,25,0.25,15:28,16:50,1:22,1.366666667,
8/17/2022,2,MG5,41.51708,118.95757,10.9,26,0.577,12:59,14:20,1:21,1.35,
8/17/2022,2,SC1,41.52543,118.98546,8.7,28.6,1.175,11:03,12:11,1:08,1.133333333,Perma-rebar
8/17/2022,2,SC2,41.50257,118.97894,9.4,22.3,1.761,15:19,17:17,1:58,1.966666667,
9/7/2022,4,MG2,41.54489,119.01041,8.6,26.3,0.924,10:19,11:29,1:10,1.166666667,
9/7/2022,4,MG3,41.53177,118.99426,4.5,23.3,0.756,12:01,13:41,1:40,1.666666667,
9/7/2022,4,MG4,41.53307,118.99085,na,na,na,na,na,na,na,
9/8/2022,4,MG5,41.51708,118.95757,11.4,23.1,0.4297,10:15,11:28,1:13,1.216666667,fire scare (incomplete sample)
9/7/2022,4,SC1,41.52543,118.98546,6.3,28.6,1.563,13:17,14:20,1:03,1.05,
9/7/2022,4,SC2,41.50257,118.97894,11.2,22,0.7408,14:57,16:04,1:07,1.116666667,
11/1/2022,6,MG2,41.54489,119.01041,12.6,23,1.403,11:22,13:08,1:46,1.766666667,
11/1/2022,6,MG3,41.53177,118.99426,14.1,21,1.128,12:46,15:28,2:42,2.7,
11/1/2022,6,MG4,41.53307,118.99085,na,na,na,na,na,na,na,
11/1/2022,6,MG5,41.51708,118.95757,na,na,na,na,na,na,na,
11/1/2022,6,SC1,41.52543,118.98546,na,na,na,na,na,na,na,
11/1/2022,6,SC2,41.50257,118.97894,na,na,na,na,na,na,na,